iter	Logloss
0	0.6799085547
1	0.6745215346
2	0.6722641383
3	0.6638512958
4	0.6622905326
5	0.6592137139
6	0.6590723226
7	0.6581611199
8	0.6573589439
9	0.6523234914
10	0.6513501284
11	0.6511735653
12	0.6488376707
13	0.640973354
14	0.6388032565
15	0.6387890284
16	0.6362610723
17	0.6319786057
18	0.6306646341
19	0.6293345176
20	0.6288463534
21	0.6268851092
22	0.62651806
23	0.6260482722
24	0.6241734712
25	0.6238203058
26	0.6230365765
27	0.6217696729
28	0.6211310284
29	0.6203651923
30	0.618793538
31	0.6179270576
32	0.6160707887
33	0.6131247338
34	0.6118314054
35	0.6082216654
36	0.6023783064
37	0.5961221277
38	0.5949406955
39	0.5920863806
40	0.590137953
41	0.5886985623
42	0.5816002389
43	0.5777668896
44	0.5764958963
45	0.5689205482
46	0.5652824774
47	0.5632097972
48	0.5576392178
49	0.5544252477
50	0.549799095
51	0.5489204524
52	0.5483968637
53	0.5476495217
54	0.5446572691
55	0.5441615666
56	0.5414593641
57	0.5409018868
58	0.5368033515
59	0.5338255611
60	0.5332761218
61	0.5283447639
62	0.5278188101
63	0.5273023745
64	0.5268769012
65	0.5234832166
66	0.5229433526
67	0.5204732367
68	0.5199888451
69	0.5183729154
70	0.5146324165
71	0.5084808662
72	0.5073889947
73	0.5069819657
74	0.5065318003
75	0.5044721548
76	0.5032867539
77	0.5022461255
78	0.5018754991
79	0.501659712
80	0.5000758376
81	0.4993743113
82	0.4980463946
83	0.4953668535
84	0.4912550777
85	0.4876926636
86	0.4845490791
87	0.4839417383
88	0.4824678638
89	0.4821896484
90	0.4809781116
91	0.480297107
92	0.4793204133
93	0.4778618673
94	0.4774535293
95	0.4771590743
96	0.476952653
97	0.4767126534
98	0.4735068502
99	0.4731081062
100	0.4728206079
101	0.4726125507
102	0.472449616
103	0.4720583027
104	0.4718397567
105	0.4698741789
106	0.4696342197
107	0.4671076979
108	0.4660423429
109	0.4637646121
110	0.462774003
111	0.462247943
112	0.4620986499
113	0.4618286969
114	0.4616391854
115	0.459671371
116	0.4578343197
117	0.4565550676
118	0.4542437788
119	0.4520470895
120	0.4511957259
121	0.4508788633
122	0.4507285016
123	0.4479869443
124	0.4477944156
125	0.4453552239
126	0.4443544125
127	0.4441751523
128	0.4434416161
129	0.443271631
130	0.4419431077
131	0.4411615267
132	0.441039684
133	0.4392750428
134	0.4369386126
135	0.4351134347
136	0.4332514727
137	0.4307654575
138	0.430465166
139	0.4282696142
140	0.4281386301
141	0.4272627636
142	0.4271474471
143	0.4263791431
144	0.4260986889
145	0.4259828511
146	0.4241856049
147	0.4232974427
148	0.4231474972
149	0.4219943631
150	0.4218381146
151	0.4216051069
152	0.4214919892
153	0.4199209528
154	0.4196799927
155	0.417952682
156	0.417814882
157	0.4177279067
158	0.4169451148
159	0.4168279335
160	0.4161333769
161	0.416006513
162	0.414540811
163	0.4144344421
164	0.4143041156
165	0.4137390134
166	0.4135634702
167	0.412574294
168	0.4124551151
169	0.4113418162
170	0.4106572468
171	0.4102703657
172	0.4096899478
173	0.408012279
174	0.407898594
175	0.4068596943
176	0.4059252059
177	0.4058105745
178	0.4057212506
179	0.4052323131
180	0.403263463
181	0.4022102418
182	0.4021351649
183	0.4003036972
184	0.3998931161
185	0.399792532
186	0.3996860062
187	0.3996164278
188	0.399063643
189	0.3988832442
190	0.3987418865
191	0.3986444672
192	0.398589357
193	0.3977835997
194	0.3976777959
195	0.3967097466
196	0.3962282862
197	0.3961700142
198	0.3953084416
199	0.3952448135
200	0.3938367096
201	0.3925635112
202	0.3914287183
203	0.3911626769
204	0.3909912412
205	0.3909088969
206	0.3907472145
207	0.3902409501
208	0.3896250011
209	0.3894526607
210	0.3893707031
211	0.3870066278
212	0.3869454095
213	0.3859779564
214	0.3837290874
215	0.3829695322
216	0.3826264409
217	0.3818695496
218	0.3817934703
219	0.3816775631
220	0.3806302382
221	0.3805780634
222	0.3791502052
223	0.3782017407
224	0.3781426062
225	0.3780438047
226	0.3769382054
227	0.3768882726
228	0.3768060364
229	0.3762536657
230	0.3758688653
231	0.3750163243
232	0.3749552478
233	0.3745143592
234	0.3737678967
235	0.3736709856
236	0.3733793888
237	0.3732839958
238	0.3731381966
239	0.3730652782
240	0.3728365269
241	0.3722735129
242	0.3721782381
243	0.3717159067
244	0.3698844871
245	0.3698019115
246	0.3697340635
247	0.3696246083
248	0.3694978781
249	0.3694468854
250	0.3693628593
251	0.3692644744
252	0.367947605
253	0.3673572781
254	0.3670870913
255	0.3667550068
256	0.3641988222
257	0.3628968296
258	0.3620245038
259	0.3602209081
260	0.359004193
261	0.3589597411
262	0.3582533564
263	0.3570770499
264	0.3570296697
265	0.3560981882
266	0.355691893
267	0.355009233
268	0.3549731116
269	0.3549027642
270	0.354850402
271	0.353441558
272	0.3534039542
273	0.3533710891
274	0.3529743581
275	0.352004309
276	0.350710557
277	0.3501333183
278	0.3486463818
279	0.3485964767
280	0.3485676792
281	0.3478799351
282	0.3474176961
283	0.347356581
284	0.3457379082
285	0.3452562696
286	0.3443080069
287	0.3442592883
288	0.3441839597
289	0.344145701
290	0.3440706406
291	0.3440065339
292	0.3435124268
293	0.343472601
294	0.3434175701
295	0.3433669008
296	0.3433358467
297	0.342412461
298	0.3421396629
299	0.3417875534
300	0.3406103387
301	0.3405556144
302	0.3401847154
303	0.3401507018
304	0.3401036918
305	0.3399078757
306	0.3398274122
307	0.3378162384
308	0.337588358
309	0.3375543327
310	0.3374484318
311	0.3370013544
312	0.3363505414
313	0.335581859
